proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
72132,,,364.00,1,False,state,AZ
72132,26,,119.70,1,False,state,AZ
72132,TC,,244.30,1,False,state,AZ
72133,,,426.30,1,False,state,AZ
72133,26,,124.60,1,False,state,AZ
72133,TC,,301.70,1,False,state,AZ
72141,,,411.60,1,False,state,AZ
72141,26,,145.60,1,False,state,AZ
72141,TC,,266.00,1,False,state,AZ
72142,,,595.00,1,False,state,AZ
72142,26,,176.40,1,False,state,AZ
72142,TC,,418.60,1,False,state,AZ
72146,,,410.90,1,False,state,AZ
72146,26,,145.60,1,False,state,AZ
72146,TC,,265.30,1,False,state,AZ
72147,,,589.40,1,False,state,AZ
72147,26,,175.00,1,False,state,AZ
72147,TC,,414.40,1,False,state,AZ
72148,,,413.00,1,False,state,AZ
72148,26,,146.30,1,False,state,AZ
72148,TC,,266.70,1,False,state,AZ
72149,,,584.50,1,False,state,AZ
72149,26,,175.70,1,False,state,AZ
72149,TC,,408.80,1,False,state,AZ
72156,,,690.90,1,False,state,AZ
72156,26,,225.40,1,False,state,AZ
72156,TC,,465.50,1,False,state,AZ
72157,,,692.30,1,False,state,AZ
72157,26,,225.40,1,False,state,AZ
72157,TC,,466.90,1,False,state,AZ
72158,,,689.50,1,False,state,AZ
72158,26,,225.40,1,False,state,AZ
72158,TC,,464.10,1,False,state,AZ
72159,,,746.20,1,False,state,AZ
72159,26,,177.10,1,False,state,AZ
72159,TC,,569.10,1,False,state,AZ
72170,,,58.80,1,False,state,AZ
72170,26,,17.50,1,False,state,AZ
72170,TC,,41.30,1,False,state,AZ
72190,,,88.90,1,False,state,AZ
72190,26,,25.20,1,False,state,AZ
72190,TC,,63.70,1,False,state,AZ
72191,,,655.90,1,False,state,AZ
72191,26,,175.70,1,False,state,AZ
72191,TC,,480.20,1,False,state,AZ
72192,,,286.30,1,False,state,AZ
72192,26,,107.10,1,False,state,AZ
72192,TC,,179.20,1,False,state,AZ
72193,,,493.50,1,False,state,AZ
72193,26,,114.10,1,False,state,AZ
72193,TC,,379.40,1,False,state,AZ
72194,,,544.60,1,False,state,AZ
72194,26,,119.00,1,False,state,AZ
72194,TC,,425.60,1,False,state,AZ
72195,,,494.90,1,False,state,AZ
72195,26,,144.20,1,False,state,AZ
72195,TC,,350.70,1,False,state,AZ
72196,,,579.60,1,False,state,AZ
72196,26,,169.40,1,False,state,AZ
72196,TC,,410.20,1,False,state,AZ
72197,,,727.30,1,False,state,AZ
72197,26,,215.60,1,False,state,AZ
72197,TC,,511.70,1,False,state,AZ
72198,,,730.10,1,False,state,AZ
72198,26,,175.00,1,False,state,AZ
72198,TC,,555.10,1,False,state,AZ
72200,,,70.00,1,False,state,AZ
72200,26,,16.80,1,False,state,AZ
72200,TC,,53.20,1,False,state,AZ
72202,,,82.60,1,False,state,AZ
72202,26,,22.40,1,False,state,AZ
72202,TC,,60.20,1,False,state,AZ
72220,,,68.60,1,False,state,AZ
72220,26,,17.50,1,False,state,AZ
72220,TC,,51.10,1,False,state,AZ
72240,,,235.20,1,False,state,AZ
72240,26,,90.30,1,False,state,AZ
72240,TC,,144.90,1,False,state,AZ
72255,,,226.10,1,False,state,AZ
72255,26,,89.60,1,False,state,AZ
72255,TC,,136.50,1,False,state,AZ
72265,,,228.90,1,False,state,AZ
72265,26,,82.60,1,False,state,AZ
72265,TC,,146.30,1,False,state,AZ
72270,,,320.60,1,False,state,AZ
72270,26,,135.10,1,False,state,AZ
72270,TC,,185.50,1,False,state,AZ
